Fecha,Casos Nuevos,Recuperados,Fallecidos
3-Mar-20,2,,
4-Mar-20,1,,
5-Mar-20,1,,
6-Mar-20,1,,
7-Mar-20,2,,
8-Mar-20,3,,
9-Mar-20,3,,
10-Mar-20,4,,
11-Mar-20,6,,
12-Mar-20,10,,
13-Mar-20,10,,
14-Mar-20,18,,
15-Mar-20,14,,
16-Mar-20,81,,
17-Mar-20,45,,
18-Mar-20,37,,
19-Mar-20,104,5,
20-Mar-20,92,,
21-Mar-20,103,8,
22-Mar-20,95,,
23-Mar-20,114,11,1
24-Mar-20,176,,1
25-Mar-20,220,22,2
26-Mar-20,164,33,4
27-Mar-20,304,43,5
28-Mar-20,299,61,6
29-Mar-20,230,75,7
30-Mar-20,310,156,8
31-Mar-20,289,,12
01-Abr-20,293,234,16
02-Abr-20,373,335,18
03-Abr-20,333,427,22
04-Abr-20,424,528,27
05-Abr-20,310,528,34
06-Abr-20,344,728,37
07-Abr-20,301,898,43
08-Abr-20,430,1115,48
09-Abr-20,426,1274,57
10-Abr-20,529,1571,65
11-Abr-20,426,1864,73
12-Abr-20,286,2059,80
13-Abr-20,312,2367,82
14-Abr-20,392,2646,92
15-Abr-20,356,2937,94
16-Abr-20,534,3299,105
17-Abr-20,445,3621,116
18-Abr-20,478,4035,126
19-Abr-20,358,4338,133
20-Abr-20,419,4476,139
21-Abr-20,325,4969,147
22-Abr-20,464,5386,160
23-Abr-20,516,5804,168
24-Abr-20,494,6327,174
25-Abr-20,552,6746,181
26-Abr-20,473,7024,189
27-Abr-20,482,7327,198
28-Abr-20,552,7710,207
29-Abr-20,770,8057,216
30-Abr-20,888,8580,227
1-May-20,985,9018,234
2-May-20,1427,9572,247
3-May-20,1228,9958,260
4-May-20,980,10041,270
5-May-20,1373,10710,275
6-May-20,1032,11189,281
7-May-20,1533,11664,285
8-May-20,1391,12160,294
9-May-20,1217,12677,304
10-May-20,1647,13112,312
11-May-20,1197,13605,323
12-May-20,1658,14125,335
13-May-20,2660,14865,347
14-May-20,2659,15655,369
15-May-20,2502,16614,394
16-May-20,1886,18014,421
17-May-20,2353,19213,450
18-May-20,2278,20165,478
19-May-20,3520,21507,509
20-May-20,4038,22504,544
21-May-20,3964,23992,589
22-May-20,4276,25342,630
23-May-20,3536,26546,673
24-May-20,3709,28147,718
25-May-20,4895,29302,761
26-May-20,3964,30915,806
27-May-20,4328,33540,841
28-May-20,4654,35150,890
29-May-20,3695,38598,944
30-May-20,4220,40431,997
31-May-20,4830,42727,1054
01-Jun-20,5471,44946,1113